device_id,timestamp,sensor_type,reading_value,unit,location,_reason
SENSOR_036,2026-08-01T00:04:00,temperature,,C,warehouse_c,missing_reading_value
SENSOR_044,2026-08-01T00:19:00,humidity,,%,warehouse_a,invalid_reading_value_dtype
SENSOR_014,2026-08-01T00:23:00,pressure,,hPa,warehouse_b,missing_reading_value
,2026-08-01T00:23:00,battery,26.49,%batt,warehouse_a,missing_device_id
,2026-08-01T00:25:00,pressure,1008.46,hPa,warehouse_c,missing_device_id
SENSOR_024,2026-08-01T00:26:00,battery,,%batt,warehouse_a,missing_reading_value
SENSOR_039,2026-08-01T00:37:00,temperature,696.56,C,warehouse_a,out_of_range
SENSOR_044,2026-08-01T00:55:00,temperature,,C,warehouse_c,missing_reading_value
SENSOR_004,2026-08-01T01:08:00,pressure,,hPa,warehouse_b,missing_reading_value
SENSOR_027,2026-08-01T01:13:00,temperature,,C,warehouse_c,invalid_reading_value_dtype
SENSOR_025,2026-08-01T01:39:00,temperature,993.56,C,warehouse_b,out_of_range
SENSOR_020,2026-08-01T01:41:00,pressure,,hPa,warehouse_a,invalid_reading_value_dtype
,2026-08-01T01:50:00,pressure,1020.88,hPa,warehouse_a,missing_device_id
,2026-08-01T02:03:00,temperature,3.47,C,warehouse_b,missing_device_id
SENSOR_018,2026-08-01T02:15:00,humidity,,%,warehouse_c,missing_reading_value
,2026-08-01T02:24:00,humidity,21.94,%,warehouse_b,missing_device_id
SENSOR_047,2026-08-01T02:26:00,battery,,%batt,warehouse_b,missing_reading_value
SENSOR_040,2026-08-01T02:27:00,humidity,986.57,%,warehouse_b,out_of_range
,2026-08-01T03:00:00,pressure,990.44,hPa,warehouse_a,missing_device_id
SENSOR_021,2026-08-01T03:05:00,humidity,839.52,%,warehouse_c,out_of_range
SENSOR_047,2026-08-01T03:07:00,pressure,,hPa,warehouse_c,missing_reading_value
SENSOR_006,2026-08-01T03:17:00,pressure,896.65,hPa,warehouse_a,out_of_range
,2026-08-01T03:21:00,pressure,1012.1,hPa,warehouse_c,missing_device_id
SENSOR_029,2026-08-01T03:25:00,battery,,%batt,warehouse_b,invalid_reading_value_dtype
SENSOR_003,2026-08-01T03:26:00,pressure,,hPa,warehouse_c,missing_reading_value
SENSOR_041,2026-08-01T03:40:00,battery,,%batt,warehouse_a,missing_reading_value
SENSOR_045,2026-08-01T03:50:00,battery,968.54,%batt,warehouse_a,out_of_range
,2026-08-01T03:53:00,humidity,93.27,%,warehouse_b,missing_device_id
SENSOR_047,2026-08-01T04:00:00,pressure,,hPa,warehouse_c,missing_reading_value
,2026-08-01T04:13:00,temperature,36.88,C,warehouse_c,missing_device_id
SENSOR_015,2026-08-01T04:16:00,pressure,,hPa,warehouse_b,invalid_reading_value_dtype
,2026-08-01T04:18:00,battery,669.2,%batt,warehouse_a,missing_device_id
SENSOR_024,2026-08-01T04:20:00,pressure,,hPa,warehouse_a,invalid_reading_value_dtype
SENSOR_039,2026-08-01T04:34:00,humidity,,%,warehouse_a,missing_reading_value
SENSOR_005,2026-08-01T04:43:00,battery,559.29,%batt,warehouse_a,out_of_range
SENSOR_041,2026-08-01T04:47:00,battery,639.58,%batt,warehouse_a,out_of_range
SENSOR_009,2026-08-01T04:51:00,temperature,881.44,C,warehouse_a,out_of_range
,2026-08-01T04:58:00,pressure,1048.09,hPa,warehouse_b,missing_device_id
,2026-08-01T05:05:00,temperature,37.21,C,warehouse_a,missing_device_id
SENSOR_023,2026-08-01T05:08:00,temperature,,C,warehouse_a,invalid_reading_value_dtype
SENSOR_049,2026-08-01T05:34:00,temperature,,C,warehouse_a,missing_reading_value
SENSOR_004,2026-08-01T05:44:00,temperature,,C,warehouse_c,missing_reading_value
SENSOR_041,2026-08-01T06:12:00,pressure,,hPa,warehouse_b,missing_reading_value
SENSOR_041,2026-08-01T06:26:00,temperature,,C,warehouse_a,invalid_reading_value_dtype
SENSOR_009,2026-08-01T06:31:00,battery,,%batt,warehouse_a,missing_reading_value
SENSOR_050,2026-08-01T07:11:00,temperature,,C,warehouse_b,missing_reading_value
SENSOR_050,2026-08-01T07:13:00,humidity,,%,warehouse_c,missing_reading_value
,2026-08-01T07:31:00,humidity,,%,warehouse_c,missing_device_id
,2026-08-01T08:03:00,pressure,954.12,hPa,warehouse_a,missing_device_id
,2026-08-01T08:14:00,pressure,974.79,hPa,warehouse_a,missing_device_id
