device_id,timestamp,sensor_type,reading_value,unit,location
SENSOR_002,2026-08-01T00:00:00,temperature,30.79,C,warehouse_a
SENSOR_009,2026-08-01T00:01:00,humidity,73.65,%,warehouse_c
SENSOR_038,2026-08-01T00:02:00,temperature,13.21,C,warehouse_a
SENSOR_014,2026-08-01T00:03:00,temperature,2.8,C,warehouse_c
SENSOR_036,2026-08-01T00:04:00,temperature,,C,warehouse_c
SENSOR_015,2026-08-01T00:05:00,battery,44.92,%batt,warehouse_b
SENSOR_049,2026-08-01T00:06:00,temperature,34.32,C,warehouse_c
SENSOR_022,2026-08-01T00:07:00,battery,27.79,%batt,warehouse_a
SENSOR_007,2026-08-01T00:08:00,pressure,959.27,hPa,warehouse_a
SENSOR_023,2026-08-01T00:09:00,pressure,1010.37,hPa,warehouse_a
SENSOR_035,2026-08-01T00:10:00,battery,12.48,%batt,warehouse_b
SENSOR_036,2026-08-01T00:11:00,temperature,6.12,C,warehouse_c
SENSOR_037,2026-08-01T00:12:00,pressure,969.23,hPa,warehouse_a
SENSOR_043,2026-08-01T00:13:00,temperature,2.53,C,warehouse_b
SENSOR_015,2026-08-01T00:14:00,temperature,37.66,C,warehouse_b
SENSOR_030,2026-08-01T00:15:00,pressure,1013.57,hPa,warehouse_b
SENSOR_024,2026-08-01T00:16:00,humidity,35.53,%,warehouse_c
SENSOR_045,2026-08-01T00:17:00,pressure,1043.67,hPa,warehouse_c
SENSOR_039,2026-08-01T00:18:00,temperature,24.92,C,warehouse_c
SENSOR_011,2026-08-01T00:19:00,humidity,46.23,%,warehouse_b
SENSOR_044,2026-08-01T00:19:00,humidity,ERROR,%,warehouse_a
SENSOR_003,2026-08-01T00:21:00,humidity,80.5,%,warehouse_b
SENSOR_005,2026-08-01T00:22:00,pressure,971.1,hPa,warehouse_c
SENSOR_014,2026-08-01T00:23:00,pressure,,hPa,warehouse_b
,2026-08-01T00:23:00,battery,26.49,%batt,warehouse_a
,2026-08-01T00:25:00,pressure,1008.46,hPa,warehouse_c
SENSOR_024,2026-08-01T00:26:00,battery,,%batt,warehouse_a
SENSOR_006,2026-08-01T00:27:00,battery,75.58,%batt,warehouse_a
SENSOR_041,2026-08-01T00:28:00,humidity,16.0,%,warehouse_c
SENSOR_039,2026-08-01T00:29:00,battery,6.35,%batt,warehouse_b
SENSOR_034,2026-08-01T00:30:00,battery,25.14,%batt,warehouse_c
SENSOR_044,2026-08-01T00:31:00,temperature,29.64,C,warehouse_c
SENSOR_050,2026-08-01T00:32:00,pressure,1014.1,hPa,warehouse_a
SENSOR_028,2026-08-01T00:33:00,pressure,965.82,hPa,warehouse_a
SENSOR_033,2026-08-01T00:34:00,pressure,1026.2,hPa,warehouse_c
SENSOR_041,2026-08-01T00:35:00,temperature,6.41,C,warehouse_c
SENSOR_010,2026-08-01T00:36:00,humidity,37.39,%,warehouse_a
SENSOR_039,2026-08-01T00:37:00,temperature,696.56,C,warehouse_a
SENSOR_024,2026-08-01T00:38:00,temperature,38.33,C,warehouse_b
SENSOR_004,2026-08-01T00:39:00,humidity,24.09,%,warehouse_c
SENSOR_006,2026-08-01T00:40:00,temperature,30.25,C,warehouse_a
SENSOR_009,2026-08-01T00:41:00,humidity,65.98,%,warehouse_c
SENSOR_017,2026-08-01T00:42:00,humidity,52.77,%,warehouse_c
SENSOR_014,2026-08-01T00:43:00,battery,92.89,%batt,warehouse_c
SENSOR_046,2026-08-01T00:44:00,humidity,31.17,%,warehouse_c
SENSOR_029,2026-08-01T00:45:00,pressure,1039.96,hPa,warehouse_b
SENSOR_016,2026-08-01T00:46:00,temperature,2.36,C,warehouse_b
SENSOR_038,2026-08-01T00:47:00,temperature,20.47,C,warehouse_c
SENSOR_001,2026-08-01T00:48:00,humidity,7.1,%,warehouse_c
SENSOR_015,2026-08-01T00:49:00,temperature,-6.29,C,warehouse_a
SENSOR_005,2026-08-01T00:50:00,pressure,1001.42,hPa,warehouse_b
